t	x1	y1	x2	y2	x3	y3
0	0.97000436	-0.24308753	-0.97000436	0.24308753	0	0
0.001	0.970469957709257	-0.242655012682624	-0.969537549785347	0.243519743457119	-0.000932407913910311	-0.000864730774494419
0.003	0.971397522139983	-0.241789074662728	-0.968600285314553	0.244383250533971	-0.00279723679543013	-0.00259417587124232
0.007	0.973238172773511	-0.24005364188586	-0.966711134563575	0.246106526969292	-0.00652703813993557	-0.0060528850834316
0.015	0.976861927173461	-0.236568995404051	-0.96287398129516	0.249537653348399	-0.0139879457283015	-0.0129686579443479
0.031	0.983882177804124	-0.22954801488117	-0.954961365037191	0.25633425410065	-0.0289208124569322	-0.0267862392194801
0.063	0.997037001319961	-0.215324762008754	-0.938160016406954	0.269630947046157	-0.0588769842830076	-0.0543061850374025
0.114747574571496	1.01592626038938	-0.191923612661232	-0.90812678538673	0.290104088928293	-0.107799473855171	-0.0981804762670613
0.171011120234967	1.03333832142849	-0.16609394339366	-0.871268715783163	0.310475338485907	-0.16206960393522	-0.144381395092247
0.171011120234967	1.03333832142849	-0.16609394339366	-0.871268715783163	0.310475338485907	-0.16206960393522	-0.144381395092247
0.220626601412867	1.0461851016169	-0.143109825470902	-0.835001629232728	0.326292907412447	-0.211183470177904	-0.183183081941544
0.220626601412867	1.0461851016169	-0.143109825470902	-0.835001629232728	0.326292907412447	-0.211183470177904	-0.183183081941544
0.266860544712338	1.05618066884975	-0.121591008933065	-0.797996285669325	0.338736770099812	-0.25818438051182	-0.217145761166747
0.266860544712338	1.05618066884975	-0.121591008933065	-0.797996285669325	0.338736770099812	-0.25818438051182	-0.217145761166747
0.30955715630815	1.06381297494605	-0.101670700816174	-0.761119161076813	0.347844346353546	-0.302693810773666	-0.246173645537372
0.30955715630815	1.06381297494605	-0.101670700816174	-0.761119161076813	0.347844346353546	-0.302693810773666	-0.246173645537372
0.347903951388532	1.06941956471489	-0.0837600871139178	-0.725886450534248	0.353745535387004	-0.343533110701601	-0.269985448273086
0.347903951388532	1.06941956471489	-0.0837600871139178	-0.725886450534248	0.353745535387004	-0.343533110701601	-0.269985448273086
0.379895444892038	1.07322556151415	-0.0688116299678357	-0.695069990125467	0.356810978630054	-0.378155567589733	-0.287999348662218
0.379895444892038	1.07322556151415	-0.0688116299678357	-0.695069990125467	0.356810978630054	-0.378155567589733	-0.287999348662218
0.393671779638986	1.07462603655192	-0.062373804792315	-0.681430608720933	0.357569324144725	-0.393195423894268	-0.29519551935241
0.393671779638986	1.07462603655192	-0.062373804792315	-0.681430608720933	0.357569324144725	-0.393195423894268	-0.29519551935241
0.393671779638986	1.07462603655192	-0.062373804792315	-0.681430608720933	0.357569324144725	-0.393195423894268	-0.29519551935241
0.404978499754266	1.07566967561498	-0.0570899874068213	-0.670081040761527	0.35792736468573	-0.405588630803664	-0.300837377278908
0.427591939984828	1.07747376542726	-0.0465224930373922	-0.646989346629209	0.357904260481104	-0.430484414522133	-0.311381767443711
0.455598715024014	1.07919065075693	-0.0334353522911051	-0.617736635079045	0.356457808991239	-0.461454011121899	-0.323022456700134
0.492699696474432	1.08059429669546	-0.0161001225684006	-0.578062126081673	0.352025403331937	-0.502532165686792	-0.335925280763536
0.492699696474432	1.08059429669546	-0.0161001225684006	-0.578062126081673	0.352025403331937	-0.502532165686792	-0.335925280763536
0.521015106023421	1.08100364930886	-0.00287071639313693	-0.54724272444165	0.346657655077414	-0.533760919657062	-0.343786938684277
0.548959990338741	1.08084792628221	0.0101854466074745	-0.516516697431812	0.33965458040746	-0.564331223360797	-0.349840027014935
0.587206070961769	1.07973197894064	0.028055233082261	-0.474206625870129	0.327338495330092	-0.605525347198451	-0.355393728412353
0.587206070961769	1.07973197894064	0.028055233082261	-0.474206625870129	0.327338495330092	-0.605525347198451	-0.355393728412353
0.614686922622767	1.07828162464296	0.0408962097682115	-0.443785112988846	0.316582072362669	-0.634496505507242	-0.357478282130881
0.614686922622767	1.07828162464296	0.0408962097682115	-0.443785112988846	0.316582072362669	-0.634496505507242	-0.357478282130881
0.614686922622767	1.07828162464296	0.0408962097682115	-0.443785112988846	0.316582072362669	-0.634496505507242	-0.357478282130881
0.634041200240801	1.07693134127452	0.0499404337871443	-0.422418211271137	0.308080999637323	-0.654513123662973	-0.358021433424468
0.656981735940788	1.07497477464638	0.0606608730474053	-0.39720852791945	0.29705097212296	-0.677766240157115	-0.357711845170365
0.689112610691227	1.07157486010365	0.0756756766468787	-0.362202053593848	0.279948797938706	-0.709372799618674	-0.355624474585585
0.729166021606979	1.06623289592252	0.0943878655820369	-0.31920925682177	0.256133820435121	-0.747023631809088	-0.350521686017158
0.774656568758985	1.05862652932819	0.115621761470241	-0.271418945182847	0.226104649943063	-0.787207576398778	-0.341726411413304
0.824437800899556	1.04833462040806	0.138808511271909	-0.220492875232064	0.190168049555421	-0.827841736931621	-0.32897656082733
0.877879196115449	1.03485520699574	0.1635866983644	-0.16738117348708	0.14872738442355	-0.867474024729866	-0.31231408278795
0.934909280580845	1.01748945565428	0.189796160871397	-0.112247701840732	0.102078428754583	-0.905241744464459	-0.29187458962598
0.934909280580845	1.01748945565428	0.189796160871397	-0.112247701840732	0.102078428754583	-0.905241744464459	-0.29187458962598
0.983547568231098	1.00005816217353	0.21183875815045	-0.0661793477323852	0.0609544146760157	-0.933878804605672	-0.272793172826466
0.983547568231098	1.00005816217353	0.21183875815045	-0.0661793477323852	0.0609544146760157	-0.933878804605672	-0.272793172826466
