#Time (days)	Activity(Arb)	ΔAct	Log(act)	ΔLog(activity)	Log(Act) Fit
1	117	5	118.991774997856	123.323236068808	114.812447098294
2	100	5	100.181503580786	104.247432724777	96.2741565655999
3	88	5	84.3447680302933	88.1223001936425	80.7291670604534
4	72	5	71.0115105065004	74.4914247617031	67.6941626575961
6	53	5	50.3349864413688	53.2288634644679	47.5984399280675
9	29.5	1	30.0387435903886	32.152042099366	28.0643485630078
10	25.2	1	25.2902059711021	27.178721160445	23.5329143812555
13	15.2	1	15.0926038968729	16.4168710372875	13.8751587845536
15	11.1	1	10.6980686243044	11.7308990901032	9.7561722602217
