x	y1(x)	y2(x)
0	0	1
0.5	0.479427083333333	0.877596654647436
0.5	0.479427083333333	0.877596654647436
1.22962624897277	0.942458122495134	0.334707541051647
1.96606883480525	0.923182776868665	-0.385009958719236
1.96606883480525	0.923182776868665	-0.385009958719236
2.69332651462573	0.4337682572072	-0.90142685234984
3.42656642277566	-0.280973145301736	-0.960216774808735
3.42656642277566	-0.280973145301736	-0.960216774808735
4.15034648343915	-0.846467728837231	-0.533549233861042
4.88255359631411	-0.986331693155431	0.16901869651842
4.88255359631411	-0.986331693155431	0.16901869651842
5.60698406397065	-0.62675501158703	0.780267352057188
6.28318530717959	-0.000566584738246223	1.00089390657711
