t	theta(x)	omega(t)
5.10697569751798	0.967251653925271	-2.06258273293011
5.15242401023443	0.869902082640386	-2.21885326997924
5.15242401023443	0.869902082640386	-2.21885326997924
5.19481889771489	0.773003386714216	-2.34982881700024
5.19481889771489	0.773003386714216	-2.34982881700024
5.23494374943179	0.676480450233386	-2.45870341716727
5.23494374943179	0.676480450233386	-2.45870341716727
5.27335277435941	0.580287293735174	-2.54754721992609
5.31206317202702	0.480204226423966	-2.62041286522093
5.34917466337345	0.381921362416808	-2.67337125252821
5.38530853123552	0.284642798000823	-2.70815148656719
5.4207435816608	0.188321202572574	-2.72557322961035
5.45574098077028	0.092873598434845	-2.72622409139949
5.49053150876641	-0.00174659425612754	-2.71048130761213
5.52533250000592	-0.0955648985492671	-2.67855074256798
5.56035843073303	-0.188587633553208	-2.63048153576138
5.59583137467656	-0.280803119904327	-2.56616389956349
5.63199240671909	-0.372181311699516	-2.48530951722103
5.66911593634463	-0.462672264094995	-2.38740990654948
5.70752992983452	-0.552203577853426	-2.27166165689307
5.74764750665623	-0.640677225267607	-2.13683478229091
5.79002150269851	-0.727967200669826	-1.98103133700494
5.83545020449385	-0.813923464500924	-1.80120344489193
5.88521637619515	-0.898404313569929	-1.5920473095523
5.88521637619515	-0.898404313569929	-1.5920473095523
5.93370940564514	-0.970471946730858	-1.37894229272364
5.93370940564514	-0.970471946730858	-1.37894229272364
5.97963588623075	-1.02904620517636	-1.17102854546276
6.02607325047979	-1.07846302713818	-0.956763200975826
6.07024314561161	-1.11617821179238	-0.750716180796721
6.11464724785992	-1.14489447676678	-0.542622389631052
6.15926600553021	-1.16444064365936	-0.333613978338111
6.20431403389422	-1.17473387342246	-0.123618608766333
6.24993588856164	-1.17555701808298	0.0871444376616796
6.29626576264392	-1.16661402874276	0.298370692159758
6.34344968076624	-1.14753335590587	0.509691163956106
6.39169156621401	-1.11783097566275	0.720772277427083
6.4413327354379	-1.07679072954929	0.931494594387558
6.49300949519828	-1.02316575400333	1.14230341667644
6.49300949519828	-1.02316575400333	1.14230341667644
6.54682866574132	-0.9560277276694	1.35052608565104
6.54682866574132	-0.9560277276694	1.35052608565104
6.59646727363049	-0.884476213884827	1.53020839573345
6.59646727363049	-0.884476213884827	1.53020839573345
6.6429937481957	-0.809608310301972	1.68586090520108
6.6429937481957	-0.809608310301972	1.68586090520108
6.68702776690156	-0.732369242251965	1.82001508716455
6.68702776690156	-0.732369242251965	1.82001508716455
6.72906234184741	-0.653409414040363	1.93455575782959
6.77143227688094	-0.569256317076007	2.03513632258709
6.81186630018098	-0.485282837846054	2.11588767298335
6.85100050428247	-0.401197866408991	2.17879519254936
6.88911877339415	-0.317220045019193	2.22480642490124
6.92648581868315	-0.233479882873591	2.25467072177315
6.96333084713157	-0.150096921311542	2.268938772355
6.99986175575097	-0.067181718797401	2.26800823975811
7.03627338182312	0.0151564456655227	2.25214888179978
7.07275484914134	0.0968037485833982	2.22151708391346
7.10949632991005	0.177636115929492	2.1761612802207
7.14669596511327	0.257513116969101	2.11601889645071
7.18456768602453	0.336270788964125	2.04090409736359
7.22335092100563	0.413712583214903	1.95048400227828
7.26332368942585	0.48959727691015	1.84423852774477
7.30482166505202	0.563622054940195	1.72139445146975
7.34826810011528	0.635397735024724	1.58081494656259
7.39422488803296	0.704410675804633	1.42080432033652
7.43842850905168	0.763643323029922	1.25786703286506
7.48086280145806	0.813580546081495	1.09480289971046
7.5216496599259	0.854954577294709	0.933319516719247
7.56150313381387	0.888949218213622	0.772203296915814
7.60140142334272	0.916501922097368	0.608648470405144
7.64133925311328	0.937517369989395	0.443614640819963
7.68141417953972	0.95196809732565	0.277565464296059
7.72169947958479	0.959792561818186	0.111015243952379
7.76226394124646	0.96091282755288	-0.0555215796929294
7.80317482883186	0.955237912107247	-0.221512341544168
7.84450493465815	0.942664235317011	-0.38640272000249
7.8863416128148	0.923069824925633	-0.5496157175972
7.92879897036904	0.896299732369503	-0.710552516455528
7.97203477363111	0.862138808300083	-0.868592651187901
8.01627547284939	0.820265045498476	-1.02309112174712
8.0621178825981	0.769862919791692	-1.17420230505928
8.0621178825981	0.769862919791692	-1.17420230505928
8.10873425073729	0.711751048221482	-1.31705074072224
8.15570425159367	0.646751820162234	-1.44840419255428
8.20039957219791	0.579465525904054	-1.56022575022368
8.24342069412617	0.510266652810919	-1.65445593312037
8.28505049664337	0.439728860252825	-1.73204570256596
8.32555848868011	0.368268940319218	-1.79382076114534
8.36518080661687	0.296223911146047	-1.84044190420094
8.40412942645613	0.223872960543446	-1.87243656731281
8.44259797090562	0.151456587084745	-1.89021986060363
8.48076714950958	0.0791904890081601	-1.89411117552513
8.51880964438577	0.0072764902288649	-1.88434600901237
8.55689468837378	-0.0640883413741375	-1.86108341832271
8.5951925847605	-0.134703472264653	-1.82440933517953
8.63387946852771	-0.204356839369885	-1.77433569992217
8.6731426880606	-0.272816250512599	-1.71079497435933
8.71318733410322	-0.339819491888812	-1.63362899266279
8.75424472140246	-0.405062192985874	-1.54257012837835
8.79658416865484	-0.468182119455977	-1.43721097408304
8.84016194448709	-0.528252260780367	-1.31800581680874
8.88200781359485	-0.580851881243329	-1.19461974793001
8.92246531763444	-0.626648599136879	-1.0682642289199
8.96156318113852	-0.665936737449467	-0.940655178036539
8.99990501891429	-0.699534317465964	-0.811247251627126
9.03816791656204	-0.72805031848044	-0.678806877803721
9.07635667665337	-0.751409205750456	-0.544196685423963
9.11454645826393	-0.769594664874975	-0.407973917497888
9.15279779042979	-0.782576144486344	-0.270696182605982
9.19116834911477	-0.790318350470476	-0.132898614078686
9.22971356503036	-0.79278219762415	0.0048909760643559
9.26848918408496	-0.789925956342096	0.142143886579126
9.30755425013458	-0.781705148915858	0.278322990148381
9.34697484656108	-0.768070749169516	0.412875905568059
9.38682877626924	-0.748965091844095	0.545227889737354
9.42721154453476	-0.724314771129019	0.674773352122406
9.46824429922016	-0.694019475740282	0.800864583842338
9.51008496924235	-0.657934942874464	0.922795876404435
9.55294501602974	-0.615846512951486	1.03978039485488
9.59754967611912	-0.566927419608266	1.15195379740026
9.64342703487845	-0.511646153174015	1.25599241956185
9.6875650230756	-0.454218357310832	1.34416834655597
9.7305142042388	-0.394861346103131	1.41782185819328
9.77246406334538	-0.334089918811317	1.47742544182841
9.81361592544205	-0.272301220646103	1.52343335178444
9.85415193216017	-0.209840137929572	1.55622034859977
9.89424254914571	-0.147009807000592	1.57609638169208
9.9340496953995	-0.0840847629479954	1.58331296547568
9.97373010396111	-0.0213213600457418	1.57806851838465
10	0.0200114388365554	1.56781839379018
