#r (a.u)	f1(r)	f2(r)	f3(r)	f4(r)
4.4	0.108561838008132	-0.413376022440779	0.195145698883504	-0.128079483315878
4.5	0.100480002051873	-0.418934669694519	0.193339520732653	-0.125634658176423
4.6	0.0929538888112291	-0.423678067988718	0.190888812745741	-0.122708209919095
4.7	0.0859508548159418	-0.427637921725639	0.187820188133911	-0.119323213010845
4.8	0.0794394429562523	-0.430846467079412	0.184160954858855	-0.115503355081102
4.9	0.0733894517293651	-0.433336262630627	0.179938945862852	-0.111272796863363
5	0.0677719806176555	-0.435140003156237	0.175182364074045	-0.106656043109452
5.1	0.0625594555090547	-0.436290354619407	0.169919641215662	-0.101677823845538
5.2	0.0577256375424781	-0.43681980854911	0.164179309502943	-0.0963629853697855
5.3	0.0532456182984527	-0.436760554134329	0.157989885363975	-0.0907363904208028
5.4	0.0490958038498439	-0.436144366483766	0.151379764370272	-0.0848228269741225
5.5	0.0452538898329681	-0.435002509618857	0.144377126609974	-0.078646925150878
5.6	0.0416988293894106	-0.433365652877151	0.137009851781115	-0.0722330817484017
5.7	0.0384107955583392	-0.431263799504337	0.129305443324648	-0.0656053919270558
5.8	0.0353711394632529	-0.428726226307536	0.121290960956953	-0.0587875876109808
5.9	0.0325623454318396	-0.425781433330211	0.112992960999346	-0.0518029821829171
6	0.0299679840091672	-0.422457102590383	0.104437443938149	-0.0446744210745431
6.1	0.0275726636697029	-0.418780064999658	0.0956498086826232	-0.0374242378742602
6.2	0.025361981899569	-0.414776274650788	0.0866548130203905	-0.0300742155938347
6.3	0.0233224762046176	-0.41047078972671	0.0774765398002683	-0.022645552753927
6.4	0.0214415755000229	-0.405887759344639	0.0681383684012377	-0.0151588339663047
6.5	0.0197075522511664	-0.401050415704863	0.0586629510734567	-0.00763400470749724
6.6	0.0181094756618579	-0.395981070966057	0.0490721937629568	-9.0349994826092E-05
6.7	0.0166371661429363	-0.390701118317145	0.0393872410559996	0.00745352330879133
6.8	0.0152811512405112	-0.38523103676044	0.029628464901955	0.0149797008201992
6.9	0.0140326231575274	-0.379590399162309	0.0198154567953786	0.022470971836363
7	0.0128833979637086	-0.373797883165755	0.00996702311836961	0.0299108376412232
7.1	0.0118258765565391	-0.367871284594952	0.000101183363722197	0.0372835171377768
7.2	0.0108530074087517	-0.361827533014422	-0.00976482902241889	0.0445739500119302
7.3	0.00995825111527107	-0.355682709135901	-0.0196145634223963	0.0517677976231671
7.4	0.00913554673395245	-0.34945206379388	-0.0294323466811101	0.0588514418059278
7.5	0.00837927989931242	-0.343150038236666	-0.0392032758047627	0.0658119817552402
7.6	0.00768425267617844	-0.336790285503645	-0.0489132089222063	0.0726372291599907
7.7	0.00704565511049034	-0.330385692681313	-0.0585487546932436	0.079315701737847
7.8	0.00645903842688627	-0.323948403851001	-0.0680972603353566	0.0858366153166979
7.9	0.00592028981696608	-0.317489843559704	-0.0775467984282757	0.0921898745989081
8	0.0054256087579273	-0.311020740662708	-0.0868861526444242	0.0983660627364726
8.1	0.0049714847983461	-0.304551152402314	-0.0961048025425087	0.104356429837416
8.2	0.00455467674609968	-0.298090488601568	-0.105192907551563	0.110152880516324
8.3	0.00417219319252253	-0.291647535865032	-0.114141290263157	0.115747960594898
8.4	0.00382127430675573	-0.285230481690954	-0.12294141914068	0.121134843051773
8.5	0.00349937483473522	-0.278846938410193	-0.131585390746165	0.126307313314425
8.6	0.00320414823825689	-0.272503966877568	-0.140065911577371	0.131259753980082
8.7	0.00293343191095746	-0.266208099850561	-0.14837627960035	0.135987129046738
8.8	0.00268523340973918	-0.259965364998814	-0.156510365555902	0.140484967730049
8.9	0.00245771764214957	-0.253781307495635	-0.164462594111841	0.144749347936686
9	0.00224919495235503	-0.247661012149768	-0.17222792492684	0.148776879459906
9.1	0.00205811005060924	-0.241609125042124	-0.179801833686048	0.152564686958454
9.2	0.00188303173349363	-0.235629874637955	-0.187180293163265	0.156110392775593
9.3	0.00172264334459039	-0.229727092350288	-0.194359754359544	0.159412099650875
