#r (a.u)	f1(r)	f2(r)	f3(r)	f4(r)
8.8	0.00265290212168039	-0.259747197787725	0.156759775882721	0.129358993949413
8.9	0.0024277228913798	-0.253561702678248	0.164707158669815	0.133338294989939
9	0.00222137647356023	-0.247440273707624	0.172467463946091	0.137101335074613
9.1	0.00203231771452009	-0.241387543368998	0.180036180108745	0.140645431774789
9.2	0.00185912499380252	-0.235407726753532	0.187409292387913	0.143968357624489
9.3	0.00170049070549402	-0.229504642133161	0.194583263974837	0.147068324276096
9.4	0.00155521243246469	-0.223681730972911	0.201555017272853	0.149943966607643
9.5	0.00142218476786631	-0.217942077357804	0.20832191531198	0.152594326822735
9.6	0.00130039174062439	-0.212288426823223	0.214881743363834	0.155018838580948
9.7	0.00118889980403251	-0.206723204581112	0.221232690789813	0.15721731119354
9.8	0.00108685134887067	-0.201248533137489	0.22737333315198	0.159189913916409
9.9	0.000993458704712271	-0.195866249299557	0.233302614612774	0.160937160369558
10	0.000907998595249697	-0.190577920573155	0.239019830646652	0.1624598931098
10.1	0.000829807015551073	-0.185384860953519	0.244524611083905	0.163759268380978
10.2	0.000758274501156184	-0.180288146114242	0.249816903504282	0.164836741063797
10.3	0.000692841760825811	-0.175288628001057	0.25489695699558	0.165694049845176
10.4	0.000632995646574795	-0.170386948838538	0.259765306290146	0.16633320262506
10.5	0.00057826543634469	-0.165583554559132	0.264422756290085	0.166756462176747
10.6	0.000528219406307867	-0.160878707665048	0.268870366990085	0.166966332075033
10.7	0.00048246167134274	-0.156272499534482	0.273109438804951	0.166965542904798
10.8	0.000440629273681314	-0.151764862184465	0.277141498307316	0.166757038761141
10.9	0.000402389501108016	-0.14735557950332	0.280968284379469	0.166343964050675
11	0.000367437417385405	-0.143044297966223	0.284591734781862	0.165729650602285
11.1	0.000335493588800781	-0.138830536847846	0.288013973139579	0.164917605094343
11.2	0.000306301991871253	-0.134713697946378	0.291237296346882	0.163911496804187
11.3	0.000279628088316414	-0.130693074833486	0.294264162388905	0.16271514568461
11.4	0.000255257054411073	-0.12676786164494	0.297097178578557	0.161332510770996
11.5	0.000232992152768506	-0.122937161426736	0.299739090205876	0.159767678921871
11.6	0.000212653235480944	-0.119199994051572	0.302192769596215	0.158024853894667
11.7	0.000194075368361722	-0.115555303720531	0.304461205572993	0.156108345757712
11.8	0.000177107566795814	-0.112001966064726	0.30654749332002	0.154022560638696
11.9	0.000161611634415631	-0.108538794861562	0.308454824637911	0.151771990809113
12	0.000147461096479877	-0.105164548380102	0.310186478588526	0.149361205103592
12.1	0.000134540220447933	-0.101877935369832	0.31174581252094	0.146794839672351
12.2	0.000122743116813519	-0.0986776207069003	0.313136253472064	0.144077589064522
12.3	0.000111972913791847	-0.0955622307116475	0.314361289934666	0.141214197639542
12.4	0.000102140999946886	-0.0925303581509752	0.315424463985231	0.138209451303356
12.5	9.31663293019668E-05	-0.0895805669388152	0.316329363763887	0.135068169565773
12.6	8.49747839003073E-05	-0.0867113965476444	0.317079616298343	0.13179519791489
12.7	7.7498589174125E-05	-0.0839213661436737	0.317678880663663	0.128395400504191
12.8	7.06757778441523E-05	-0.08120897845801	0.31813084146951	0.124873653147593
12.9	6.44496984073592E-05	-0.0785727234057487	0.318439202666419	0.121234836617429
13	5.87685645815074E-05	-0.0760110814646091	0.318607681662538	0.117483830240126
13.1	5.35850423625153E-05	-0.0735225268243772	0.318640003742254	0.11362550578409
13.2	4.88558716161623E-05	-0.071105530318066	0.318539896778067	0.109664721634106
13.3	4.45415193709515E-05	-0.0687585621453528	0.318311086227067	0.10560631724646
13.4	4.06058622054391E-05	-0.0664800943984987	0.317957290403405	0.101455107878714
13.5	3.70158953323703E-05	-0.0642686034006062	0.31748221601815	0.0972158795881
13.6	3.37414661748225E-05	-0.0621225718657197	0.316889553978	0.0928933844922357
13.7	3.0755030407421E-05	-0.0600404908899322	0.316182975434352	0.0884923362859062
13.8	2.80314285996687E-05	-0.0580208617823186	0.31536612807435	0.084017406007513
13.9	2.55476817495632E-05	-0.0560621977441816	0.314442632645596	0.0794732180487646
14	2.32828041348999E-05	-0.0541630254047666	0.313416079706313	0.0748643464011646
14.1	2.1217632037903E-05	-0.0523218862212783	0.312290026592888	0.0701953111327952
14.2	1.93346670168928E-05	-0.0505373377507162	0.311067994596822	0.0654705750889257
14.3	1.76179325073767E-05	-0.0488079548007332	0.309753466343243	0.0606945408099545
